Column_id,predicted
Лучше уйти на один день раньше: как Назарбаев рассказал Масимову о своей отставке,1.0
"Ильясов раскрыл тайну знаменитого ""веселого"" фото Назарбаева с Бушем-младшим",1.0
10 креативных способов справиться с Bottle Cap Challenge,-1.0
Через 10-20 лет напомнит: Масимов о феноменальной памяти Назарбаева,-1.0
"«В 5 – подъем, в 6 – рабочий день»: о графике Назарбаева рассказал Кул-Мухаммед",-1.0
Вкусно и недорого: ярмарка сельхозпродукции открылась в Нур-Султане,1.0
О погибшем в ДТП студенте рассказали в медуниверситете Алматы (видео),1.0
Погибший после ДТП студент работал курьером в известной компании в Алматы,1.0
Изъяты дымовые шашки и травматы: попытки незаконных митингов пресекли в Нур-Султане и Алматы,-1.0
"Невиданная жара на Аляске: леса горят, птицы гибнут, люди раздеваются",-1.0
Три села переименуют в Павлодарской области,-1.0
«Позорила семью»: брат нашел интимное видео в телефоне сестры и задушил ее,-1.0
Сагинтаев рассказал о развитии дорожной инфраструктуры Алматы (фото),1.0
Видео с огромным вараном в степи пересылают друг другу жители Актау,1.0
Фото 16-летней Анджелины Джоли в нижнем белье впервые появились в Сети,1.0
Токаев посмотрел бои в новом Дворце единоборств «Jekpe-Jek» в Нур-Султане (фото),1.0
«Мои сверстники страдают»: школьник отдал деньги из копилки на помощь арысцам,-1.0
Умный город хотят сделать из Арыси (фото),-1.0
Плейлист Елбасы: какие песни любит и слушает Назарбаев (видео),1.0
"Когда спишут штрафы и пени по кредитам казахстанцев, рассказали в Нацбанке",-1.0
Дочь Гульнары Каримовой рассказала о судьбе миллионов матери,1.0
230 семей в Талдыкоргане получили ключи от квартир,-1.0
"Путин, Пашинян, Эрдоган: кто еще звонил Назарбаеву с поздравлениями",-1.0
Взрыв прогремел в воинской части в Азербайджане,-1.0
Замакима Алматы Арман Кырыкбаев ушел в учебный отпуск,-1.0
"Қалыңдығына ашуланған қызылордалық күйеу жігіт ""Ұзату тойынан"" кетіп қалған",1.0
Нам не нужны провокаторы: мирный митинг прошел в Алматы (фото),1.0
Женщина обворовала пятилетнего ребенка в Талдыкоргане,1.0
Программа обновления автобусного парка набирает обороты,1.0
Разрушенные после взрывов хозпостройки в Арыси ремонтировать не будут,-1.0
Дом сгорел,-1.0
Малика очень глупая и злая,-1.0
