District,Size,Price
Алмалинский,60,21500000
Ауэзовский,60,46500000
Алмалинский,121,17000000
Ауэзовский,44,15500000
Медеуский,45,20500000
Бостандыкский,63,75500000
Бостандыкский,160,33000000
Бостандыкский,76,48000000
Алмалинский,41,15000000
Турксибский,34,12800000
Алмалинский,51,27000000
Алмалинский,63,34000000
Алмалинский,200,18500000
Медеуский,35,36000000
Ауэзовский,80,14500000
Бостандыкский,46,19500000
Медеуский,220,60000000
Медеуский,122,33200000
Ауэзовский,93,21000000
Наурызбайский,80,32000000
Медеуский,190,96363000
Бостандыкский,103,53000000
Алмалинский,74,22500000
Ауэзовский,78,23700000
Ауэзовский,61,22500000
Медеуский,130,89000000
Алатауский,45,13250000
Ауэзовский,81,33000000
Ауэзовский,66,20500000
Ауэзовский,99,39500000
Бостандыкский,68,32000000
Жетысуский,88,24000000
Ауэзовский,62,27500000
Ауэзовский,115,48000000
Ауэзовский,28,12500000
Бостандыкский,67,20000000
Алатауский,65,16000000
Ауэзовский,30,12500000
Ауэзовский,65,21500000
Алмалинский,42,15000000
Наурызбайский,76,21000000
Алмалинский,58,21300000
Турксибский,82,19800000
Алмалинский,52,25300000
Алмалинский,117,85000000
Бостандыкский,82,25500000
Медеуский,86,37500000
Алмалинский,56,25800000
Бостандыкский,110,55000000
Медеуский,144,50500000
Ауэзовский,77,24700000
Турксибский,64,15500000
Алмалинский,106,48760000
Алмалинский,79,29500000
Ауэзовский,96,29500000
Ауэзовский,49,15900000
Бостандыкский,43,15500000
Бостандыкский,77,35000000
Алмалинский,70,33500000
Медеуский,82,39500000
Бостандыкский,69,33000000
Ауэзовский,57,19000000
Бостандыкский,90,33000000
Медеуский,43,16000000
Жетысуский,42,15000000
Бостандыкский,60,19000000
Бостандыкский,83,44000000
Алмалинский,60,22000000
Бостандыкский,42,15000000
Алмалинский,156,96000000
Алатауский,49,14000000
Алмалинский,53,18599777
Алмалинский,77,39000000
Наурызбайский,130,31000000
Наурызбайский,94,23000000
Бостандыкский,90,33000000
Ауэзовский,64,16500000
Турксибский,32,12800000
Бостандыкский,82,28500000
Бостандыкский,90,36000000
Ауэзовский,32,11000000
Ауэзовский,43,13300000
Ауэзовский,65,19300000
Медеуский,195,96500000
Алатауский,58,14841000
Медеуский,27,29000000
Алмалинский,54,44736000
Алатауский,45,11500500
Бостандыкский,105,14000000
