District,Size,Price
Есильский,30,11000000
Есильский,200,88500000
Есильский,97,28700000
Алматинский,30,15004000
Алматинский,97,61500000
Есильский,68,12646650
Есильский,163,16995200
Есильский,37,12052800
Есильский,42,33500000
Есильский,53,21000000
Есильский,38,15800000
Есильский,74,16500000
Есильский,45,35000000
Есильский,37,30000000
Алматинский,40,17700000
Сарыаркинский,84,21000000
Есильский,65,40641000
Есильский,67,35000000
Есильский,68,29388000
Есильский,131,46000000
Есильский,43,12685000
Сарыаркинский,107,37500000
Есильский,57,10115000
Алматинский,71,28000000
Сарыаркинский,87,24500000
Алматинский,113,31000000
Сарыаркинский,72,19500000
Сарыаркинский,70,15000000
Есильский,134,62000000
Алматинский,150,58000000
Алматинский,43,16000000
Есильский,46,15200000
Алматинский,143,46000000
Есильский,54,21760000
Алматинский,79,29800000
Есильский,117,53000000
Алматинский,42,15477889
Есильский,70,23000000
Есильский,164,76800000
Есильский,163,88800000
Есильский,104,37000000
Есильский,151,76000000
Есильский,40,13088000
Сарыаркинский,90,31000000
Есильский,95,33250000
Есильский,65,19000000
Сарыаркинский,94,26200000
Алматинский,131,32500000
Сарыаркинский,51,12135400
Есильский,60,18300000
Есильский,34,12800000
Алматинский,77,21000000
Есильский,40,10015000
Есильский,60,14800000
Есильский,38,11757750
Есильский,45,15500000
Есильский,106,32406250
Есильский,39,12772500
Алматинский,157,94300000
Алматинский,63,18700000
Алматинский,73,24000000
Сарыаркинский,73,10989000
Алматинский,38,10100000
Алматинский,128,65000000
Алматинский,150,42000000
Есильский,104,37500000
Алматинский,87,28000000
Алматинский,53,13500000
Есильский,76,26800000
Есильский,68,22100000
Есильский,66,27000000
Сарыаркинский,110,42000000
Есильский,64,27000000
Алматинский,53,16500000
Алматинский,86,26000000
Есильский,105,40500000
Алматинский,43,14100000
Есильский,54,21800000
Алматинский,41,14700000
Алматинский,49,15200000
Есильский,180,98000000
Есильский,136,76000000
Есильский,60,24000000
Алматинский,28,10999000
Есильский,36,13200000
Есильский,45,16000000
Сарыаркинский,72,18000000
Алматинский,52,15500000
Есильский,74,11594000
Есильский,80,35800000
Есильский,87,27500000
Алматинский,98,38533600
Алматинский,119,29500000
Есильский,47,17300000
Алматинский,74,22999999
Есильский,43,15500000
Алматинский,36,12000000
Алматинский,58,16500000
Алматинский,45,12300000
Есильский,54,16500000
Есильский,74,10846000
Есильский,48,15700000
Алматинский,58,18500000
Есильский,136,49900000
Есильский,155,55777777
Есильский,50,18800000
Есильский,113,54000000
Сарыаркинский,95,24882000
Сарыаркинский,39,11115000
Сарыаркинский,59,16872000
Алматинский,81,22500000
Есильский,110,22000000
Есильский,75,27075000
Алматинский,123,35500000
Сарыаркинский,45,14000000
Есильский,65,24000000
Есильский,60,11000000
Есильский,132,45000000
Есильский,97,30000000
Есильский,40,12383000
Есильский,37,12200000
Сарыаркинский,92,28000000
Есильский,67,28000000
Есильский,33,14200000
Алматинский,98,26000000
Сарыаркинский,46,14000000
Сарыаркинский,46,15800000
Сарыаркинский,38,10500000
Алматинский,40,11000000
Есильский,35,15000000
Алматинский,113,43660800
Есильский,86,37400000
Сарыаркинский,44,11500000
Алматинский,45,10000000
Алматинский,54,16900000
Алматинский,41,15600000
Алматинский,41,12300000
Алматинский,138,75000000
Есильский,39,16300000
Алматинский,80,18000000
Алматинский,53,17600000
Алматинский,51,11800000
Сарайшык38—Туркестан,150,57000000
Есильский,43,12646650
Есильский,40,12065500
Есильский,53,15667450
Алматинский,56,15200000
Есильский,38,15500000
Сарыаркинский,120,42500000
Алматинский,150,55000000
Есильский,66,27900000
Есильский,60,22800000
Есильский,60,19264000
Алматинский,65,16900000
Есильский,41,16300000
Есильский,94,28914000
Есильский,40,12352000
Есильский,61,19034000
Есильский,131,39330000
Сарыаркинский,50,19300000
Сарыаркинский,61,16000000
Мухамедханова—Туран,94,28914000
Есильский,88,23500000
Алматинский,70,24000000
Сарыаркинский,41,10521300
Алматинский,96,32000000
Есильский,118,39500000
Есильский,101,27500000
Есильский,80,23500000
Сарыаркинский,135,32000000
Сарыаркинский,60,15478500
Сарыаркинский,51,13168200
Алматинский,298,68000000
Сарыаркинский,63,11394000
Есильский,40,15800000
Алматинский,76,19500000
Сарыаркинский,97,24737550
Есильский,63,18900000
Есильский,89,22127500
Алматинский,55,15000000
Алматинский,75,25000000
Алматинский,41,17700000
Алматинский,49,15300000
Алматинский,80,23500000
Алматинский,107,31000000
Алматинский,85,23500000
Алматинский,67,13500000
Алматинский,49,14200000
Сарыаркинский,85,25900000
Алматинский,83,25300000
Алматинский,101,21388500
Есильский,38,14800000
Сарыаркинский,46,13500000
Алматинский,55,15000000
Алматинский,46,14200000
Сарыаркинский,51,15450000
Сарыаркинский,94,24500000
Алматинский,105,45500000
Сарыаркинский,41,10521300
Есильский,40,15500000
Есильский,72,30800000
Есильский,75,32000000
Есильский,96,28860000
Есильский,40,13000000
Есильский,60,15000000
Алматинский,46,16800000
Есильский,49,16000000
Есильский,60,19488000
Есильский,47,11925000
Есильский,61,23500000
Сарыаркинский,70,18800000
Сарыаркинский,56,15000000
Есильский,156,60000000
Алматинский,76,22000000
Есильский,78,36500000
Есильский,39,12500000
Есильский,90,42000000
Есильский,62,24000000
Алматинский,40,14900000
Есильский,61,19900000
Алматинский,45,12800000
Есильский,37,16200000
Есильский,42,12646650
Алматинский,118,32000000
Есильский,105,37000000
Есильский,37,15800000
Есильский,65,23500000
Есильский,138,50000000
Алматинский,124,46028000
Алматинский,77,29292900
Есильский,113,42746250
Есильский,69,24384500
Сарыаркинский,41,10500000
Есильский,53,15600000
Сарыаркинский,56,16600000
Есильский,36,22200000
Сарыаркинский,75,22500000
Есильский,86,38900000
Алматинский,97,23200000
Алматинский,85,22000000
Есильский,65,36000000
Есильский,121,25600000
Сарыаркинский,35,13198000
Алматинский,51,31950000
Алматинский,116,26000000
Алматинский,88,23000000
Алматинский,90,24300000
Есильский,86,16200000
Алматинский,52,19200000
Алматинский,78,20200000
Алматинский,65,16700000
Алматинский,59,16200000
Алматинский,69,25000000
Алматинский,56,16500000
Есильский,41,25000000
Алматинский,38,13700000
Есильский,60,15000000
Есильский,74,21100000
Алматинский,128,59000000
Есильский,40,16800000
Есильский,70,23500000
Есильский,120,55000000
Есильский,39,13500000
Алматинский,40,13500000
Есильский,55,19500000
